1618477303474,-11.278308496,262.819439726,377.912083490
1618477303569,-11.295198366,261.843479384,377.910921878
1618477303664,-10.270411672,261.384881850,377.981402259
1618477303759,-10.035651510,260.050743443,379.997548044
1618477303854,-7.472810446,260.403005156,381.173809128
1618477303949,-8.406443749,259.731862413,379.109597882
1618477304044,-10.901346477,259.436266464,378.075560621
1618477304139,-10.946527375,260.923891441,378.003677615
1618477304234,-9.228872997,262.749077281,377.915483449
1618477304329,-11.042224144,261.483416575,377.928320347
1618477304424,-10.395325309,261.985991883,378.904035582
1618477304519,-11.683539135,260.972893679,377.952989145
1618477304608,-10.526103276,260.748812359,378.963816900
1618477304703,-5.993329047,261.990505112,377.000458799
1618477304798,-8.112808463,259.313925970,378.129792843
1618477304893,-8.431498991,259.190842178,377.039099032
1618477304988,-9.930668779,259.901319612,382.004768300
1618477305083,-11.605470009,260.438458291,377.027134060
1618477305178,-9.426665602,262.607280910,379.970655792
1618477305273,-10.513069257,260.460306255,380.171040302
1618477305368,-7.650507977,260.925879832,375.955260885
1618477305463,-6.172889386,262.976122058,379.194436397
1618477305558,-11.636392490,261.482470819,381.025007346
1618477305653,-10.657869639,264.359676001,379.885978922
1618477305748,-10.301382674,265.428963440,377.979272208
1618477305844,-12.822842833,262.171167166,378.943408441
1618477305938,-10.496334397,261.706441772,385.965864274
1618477306032,-8.290073301,262.412866603,380.980050017
1618477306126,-9.878312341,261.826799742,379.008369149
1618477306220,-9.685037519,261.551708174,380.021661752
1618477306314,-6.645640638,261.495633876,380.024371299
1618477306408,-7.884841003,257.989455739,379.145471455
1618477306502,-5.889573830,258.149555693,380.282697271
1618477306596,-8.624379472,258.042054290,380.094609209
1618477306690,-9.833879599,261.763557813,378.011425040
1618477306784,-12.977369075,263.967788992,378.001556457
1618477306878,-13.602038014,264.856891652,379.958594439
1618477306972,-11.674007172,264.382644846,377.884869053
1618477307060,-11.141448570,261.624644504,379.921496122
1618477307154,-7.432869094,260.769474087,380.107780462
1618477307248,-9.033507671,257.201055711,378.135246807
1618477307342,-7.218215225,259.040635149,382.191319083
